Compound name;SMILES;Total Molweight;cLogP;H-Acceptors;H-Donors;sp3-Carbon Fraction;Metabolic pathway;Bioactivity;Species;Reference
(+)-11-hydroxyaerothionin;COC1=C([C@@H]([C@]2(CC(=NO2)C(=O)NCCC(CNC(=O)C3=NO[C@@]4(C3)C=C(C(=C([C@@H]4O)Br)OC)Br)O)C=C1Br)O)Br;834.105;18.132;13;5;0.5;Polyketides;Not known;Bacterium Pseudovibrio denitrificans Ab134, isolated from the marine sponge Arenosclera brasiliensis ;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224595
11-oxoaerothionin;COC1=C([C@@H](C2(CC(=NO2)C(=O)NCCC(=O)CNC(=O)C3=NOC4(C3)C=C(C(=C([C@@H]4O)Br)OC)Br)C=C1Br)O)Br;832.09;1.782;13;4;0.45833;Alkaloids;Moderate antibiotic activity against several pathogenic bacteria.;Aplysina ;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224596
11-keto-12-hydroxyaerothionin;COC1=C(Br)[C@H](O)[C@]2(CC(=NO2)C(=O)NCC(O)C(=O)CNC(=O)C2=NO[C@@]3(C2)C=C(Br)C(OC)=C(Br)[C@@H]3O)C=C1Br;848.089;0.7602;14;5;0.45833;Alkaloids;Anti-inflammatory activity in LPS-stimulated macrophages, selective antitumor activity toward the human colon (HCT 116) cell line within the limited concentration range of 0.01-0.1 microgram/m;Aplysina ;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224597
Eroplysinin-2;COC1=C([C@H]2[C@](CC(=O)O2)(C=C1Br)O)Br;339.967;0.6191;4;1;0.44444;Shikimates and Phenylpropanoids;Not known;Aplysina ;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224598
Verongidoic acid;COC1=C([C@@H]([C@]2(CC(=NO2)C(=O)O)C=C1Br)O)Br;382.991;10.917;6;2;0.4;Amino acids and Peptides;Anticancer activity against human MDA-MB-231 assessed as inhibition of cell growth incubated for 48 hrs by SRB assay, , antibacterial activity against Staphylococcus aureus ATCC 6538P, Pseudomonas aeruginosa ATCC 9027, and against Klebsiella pneumoniae ATCC 10032 assessed as inhibition zone diameter after 24 hrs by agar diffusion method;Bacterium Pseudovibrio denitrificans Ab134, isolated from the marine sponge Arenosclera brasiliensis ;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224599
Methyl ester of Verongidoic acid;COC(=O)C1=NO[C@@]2(C1)C=C(Br)C(OC)=C(Br)[C@@H]2O;397.018;15.196;6;1;0.45455;Alkaloids/ Amino acids and peptides;Not known;Aplysina ;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224600
 (+)-aplysinafulvin;CO[C@H]1C(Br)=C(OC)C(Br)=C[C@@]1(O)CC(N)=O;371.024;0.3319;5;2;0.5;Alkaloids/ Amino acids and peptides;Not known;Aplysina ;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224601
(+)-11-deoxyfistularin-3;COC1=C([C@@H]([C@]2(CC(=NO2)C(=O)NCCCOC3=C(C=C(C=C3Br)C(CNC(=O)C4=NO[C@@]5(C4)C=C(C(=C([C@@H]5O)Br)OC)Br)O)Br)C=C1Br)O)Br;1098.02;45.391;14;5;0.41935;Alkaloids/ Amino acids and peptides;Not known;Aplysina cauliformis;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224602
Citrinalin A;CC1(CC(=O)C2=C(O1)C=CC3=C2NC(=O)[C@]34C[C@]5(CN6CCC[C@H]6C[C@@H]5C4(C)C)[N+](=O)[O-])C;453.537;18.272;7;1;0.68;Amino acids and Peptides;Cytotoxic effects;Penicillium citrinum;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224603
Citrinalin B;CC1(CC(=O)C2=C(O1)C=CC3=C2NC(=O)[C@]34C[C@@]5(CN6CCC[C@H]6C[C@@H]5C4(C)C)[N+](=O)[O-])C;453.537;18.272;7;1;0.68;Alkaloids;Not known;Penicillium citrinum;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224604
(5aR,7S,8R)-mirabilin B;CCCC[C@@H]1[C@@H](C)C[C@@]2(C)CCC3=C2C1NC(=N)N3;261.411;31.602;3;3;0.8125;Polyketides;Not known;Sponge Monanchora arbuscula;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224605
(5aR,7S,8S)-8β-hydroxymirabilin B;CCCC[C@]1(O)[C@@H](C)C[C@@]2(C)CCC3=C2C1=NC(=N)N3;275.395;23.869;4;3;0.75;Polyketides;Not known;Sponge Monanchora arbuscula;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224606
(5aR,7S,8R)-8α-hydroxymirabilin B;CCCC[C@@]1(O)[C@@H](C)C[C@@]2(C)CCC3=C2C1=NC(=N)N3;275.395;23.869;4;3;0.75;?;Not known;Sponge Monanchora arbuscula;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224607
6-desmethyl-6-ethyl-9,10-dihydrospongosoritin A;CCCC[C@H](CC)C[C@@]1(CC)O\C(=C/C(=O)OC)C(CC)=C1;308.46;52.062;3;0;0.73684;Terpenoids;Not known;Sponge Plakortis angulospiculatus;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224608
9,10-dihydrospongosoritin A;CCCC[C@H](CC)C[C@@]1(C)O\C(=C/C(=O)CC)C(CC)=C1;292.461;5.456;2;0;0.73684;Terpenoids;Cytotoxic effects;Sponge Plakortis angulospiculatus;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224609
(+)-7,8-dihydroplakortide E;[H]OC(=O)\C=C\[C@]1(CC)C[C@](CC)(CC(C)C[C@@H](CC)\C=C\CC)OO1;352.513;60.587;4;1;0.7619;Alkaloids;Cytotoxic effects;Sponge Plakortis angulospiculatus;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224610
Plakortide not named;[H]OC(=O)C[C@@H]1OO[C@](CC)(C[C@@H]1CC)\C=C(/C)CC(CC)\C=C\CC;352.513;63.057;4;1;0.7619;Fatty acids;Cytotoxic effects;Sponge Plakortis angulospiculatus;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224611
Plakortide not named;[H]OC(=O)C[C@@H]1OO[C@](CC)(C[C@@H]1CC)\C=C(/C)CC(CC)CCCC;354.529;65.579;4;1;0.85714;Terpenoids;Cytotoxic effects;Sponge Plakortis angulospiculatus;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224612
Plakortide not named;[H]OC(=O)C[C@@H]1OO[C@](CC)(C[C@@H](C)C[C@@H](CC)\C=C\CC)C=C1CC;352.513;60.653;4;1;0.7619;Terpenoids;Cytotoxic effects;Sponge Plakortis angulospiculatus;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224613
Plakortide not named;[H]OC(=O)C[C@@H]1OO[C@](CC)(C[C@@H](C)C[C@@H](CC)CCCC)C=C1CC;354.529;63.175;4;1;0.85714;Terpenoids;Cytotoxic effects;Sponge Plakortis angulospiculatus;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224614
Roussoellatide;C/C=C/[C@H]1[C@@H]([C@H]([C@H](C=C1C(=O)O)C)C)C2=C(C(=O)[C@H]([C@]2(C(=O)OC)O)Cl)Cl;417.284;21.653;6;2;0.52632;Terpenoids;Cytotoxic effects;Fungus Roussoella sp. DLM33;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224615
10,11-dehydrocurvularin;C[C@H]1CCC/C=C/C(=O)C2=C(CC(=O)O1)C=C(C=C2O)O;290.314;25.587;5;2;375;Terpenoids;Not known;Penicillium sp. DRF2;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224616
12-keto-10,11-dehydrocurvularin;C[C@H]1CCC(=O)/C=C/C(=O)C2=C(CC(=O)O1)C=C(C=C2O)O;304.297;15.057;6;2;0.3125;Terpenoids;Cytotoxicity against human NCI-H460 cells by MTT assay;Penicillium sp. DRF2;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224617
10,11-epoxycurvularin;C[C@H]1CCC[C@@H]2[C@@H](O2)C(=O)C3=C(CC(=O)O1)C=C(C=C3O)O;306.313;14.363;6;2;0.5;Terpenoids;Cytotoxicity against human MCF10A cells at 7.8 to 1000 uM after 24 hrs by XTT assay;Penicillium sp. DRF2;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224618
Cyclothiocurvularin A;C[C@H]1CCC[C@@H]2[C@@H](C(=O)C3=C(CC(=O)O1)C=C(C=C3O)O)[C@@](CS2)(C(=O)O)O;410.442;0.9888;8;4;0.52632;Terpenoids;Cytotoxicity against human MCF10A cells at 7.8 to 1000 uM after 24 hrs by XTT assay;Penicillium sp. DRF2;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224619
Cyclothiocurvularin B;C[C@H]1CCC[C@H]2[C@H](C(=O)C3=C(CC(=O)O1)C=C(C=C3O)O)[C@](CS2)(C(=O)O)O;410.442;0.9888;8;4;0.52632;Terpenoids;Not known;Penicillium sp. DRF2;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224620
(10S,11S,15S,18R)-cyclothiocurvularin B methyl este;[H][C@]12CCC[C@H](C)OC(=O)CC3=C(C(O)=CC(O)=C3)C(=O)[C@]1([H])[C@](O)(CS2)C(=O)OC;424.469;14.167;8;3;0.55;Terpenoids;Not known;Penicillium sp. DRF2;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224621
 [β-MePro] destruxin E chlorohydrin;CCC(C)[C@H]1C(=O)N([C@H](C(=O)N([C@H](C(=O)NCCC(=O)OC(C(=O)N2CC[C@@H]([C@H]2C(=O)N1)C)C[C@@H](CCl)O)C)C)C(C)C)C;644.207;0.5623;13;3;0.8;Shikimates and Phenylpropanoids;Not known;Ascidian of the family Didemnidae;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224622
Pseudodestruxin C;CC1CCN2C1C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)NCCC(=O)OC(C2=O)CC(C)C)C(C)C)C)C(C)C)C)CC3=CC=CC=C3;669.861;25.606;12;2;0.66667;Alkaloids/ Amino acids and peptides;Not known;Ascidian of the family Didemnidae;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224623
Rodriguesine A;CCCCCCCCC[C@H](CC(=O)NCCCN)N1CC(=O)NC(CC2=CC=CC=C2)C1=O;458.644;33.929;7;3;0.65385;Amino acids and Peptides/ Polyketides;Not known;Ascidians of the genus Didemnum;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224624
Rodriguesine B;CCCCCCCCC[C@H](CC(=O)NCCCCN)N1CC(=O)NC(CC2=CC=CC=C2)C1=O;472.671;38.473;7;3;0.66667;Amino acids and Peptides/ Polyketides;Not known;Ascidians of the genus Didemnum;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224625
N-acetyl-rodriguesine A;CCCCCCCCC[C@H](CC(=O)NCCCNC(C)=O)N1CC(=O)NC(CC2=CC=CC=C2)C1=O;500.681;38.011;8;3;0.64286;Amino acids and Peptides/ Polyketides;Not known;Ascidians of the genus Didemnum;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224626
N-acetyl-rodriguesine B;CCCCCCCCC[C@H](CC(=O)NCCCCNC(C)=O)N1CC(=O)NC(CC2=CC=CC=C2)C1=O;514.708;42.555;8;3;0.65517;Terpenoids;Not known;Ascidians of the genus Didemnum;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224627
(+)-5-acetoxycaespitol;CC(=O)O[C@H]1C[C@@]([C@@H](C[C@@H]1[C@]2([C@H](C[C@@H](C(O2)(C)C)Br)O)C)Br)(C)Cl;490.658;39.327;4;1;0.94118;Amino acids and Peptides;Not known;Red alga Laurencia catarinensis ;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224628
8-methoxy-3,5-dimethylisochroman-6-ol;COC1=C2OC[C@@H](C)CC2=C(C)C(O)=C1;208.256;24.249;3;1;0.5;Alkaloids;Cytotoxicity against human MCF7, HT-29 and A431 cells,  after 24 hrs by MTT assay;Penicillium steckii;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224629
(−)-cladomarine;[H][C@]1(C)CCC[C@]([H])(C[C@@]2([H])CC3=C(O)C(O)=CC(O)=C3C(=O)O2)O1;308.329;17.415;6;3;0.5625;Amino acids and Peptides/ Polyketides;Not known;Deep-sea fungus Penicillium coralligerum YK-24;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224630
Cladosporin;C[C@H]1CCC[C@@H](O1)C[C@H]2CC3=C(C(=CC(=C3)O)O)C(=O)O2;292.33;20.872;5;2;0.5625;Alkaloids;Antiparasitic activity against Plasmodium falciparum 3D7;Deep-sea fungus Penicillium coralligerum YK-24;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224631
Scytalon;C1[C@H](CC(=O)C2=C1C=C(C=C2O)O)O;194.185;0.7221;4;3;0.3;Alkaloids;Inhibition of LPS-induced iNOS expression in mouse BV2 cells and Inhibition of LPS-induced COX-2 expression in mouse BV2 cells;Red alga Asparagopsis taxiformis;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224632
(3R,4R)-4-hydroxy-scytalone;O[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2[C@H]1O;210.184;-0.0039;5;4;0.3;Terpenoids;Not known;Red alga Asparagopsis taxiformis;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224633
(3R,4R)-3,4,5-trihydroxy-1-tetralone;C1[C@@H]([C@@H](C2=C(C1=O)C=CC=C2O)O)O;194.185;0.3418;4;3;0.3;Terpenoids;Not known;Red alga Asparagopsis taxiformis;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224634
Amphidinolide T1;CCC[C@@H]1CC(=C)C[C@H]([C@@H](C(=O)C[C@H]2C[C@@H]([C@@H](O2)CCCC[C@@H](C(=O)O1)C)C)O)C;422.603;5.549;5;1;0.84;Alkaloids;Not known;Octocoral Stragulum bicolor;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224635
Amphidinolide C4;[H][C@]12CC[C@@]([H])(O1)[C@H](OC(=O)C[C@]1(C)O[C@]([H])(C[C@H]1C)[C@H](O)CC(=C)\C=C(C)\[C@@H](C)[C@@H](O)CC(=O)[C@@H](C)CC(=O)C2)\C=C\C=C(/C)[C@@H](O)C(=C)CCC;698.934;74.809;9;3;0.68293;Alkaloids;Not known;Octocoral Stragulum bicolor;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224636
Amphidinolide PX1;C[C@@H]([C@H]1OC(=O)[C@H](O)C[C@H](C)\C=C\C[C@@H]2O[C@H]2CC(=C)\C=C\1)C(C)=C;346.465;46.564;4;1;0.57143;Alkaloids;Not known;Octocoral Stragulum bicolor;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224637
Amphidinolide PX2;C[C@@H]([C@H]1OC(=O)[C@@H](C[C@H](C)\C=C\C[C@@H]2O[C@H]2CC(=C)\C=C\1)OC(C)=O)C(C)=C;388.502;5.141;5;0;0.56522;Alkaloids;Not known;Octocoral Stragulum bicolor;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224638
Amphidinolide PX3;C[C@@H]([C@H]1OC(=O)[C@@H](C[C@H](C)\C=C\C[C@@H]2O[C@H]2CC(=C)\C=C/1)OC(C)=O)C(C)=C;388.502;5.141;5;0;0.56522;Terpenoids;Not known;Octocoral Stragulum bicolor;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224639
Stragulin A;COC(=O)[C@H](O)C[C@H](C)\C=C\C[C@@H]1O[C@H]1CC(=C)\C=C\[C@H](O)[C@H](C)C(C)=C;378.507;43.006;5;2;0.59091;Terpenoids;Not known;Octocoral Stragulum bicolor;Batista, A. N. L., dos Santos Jr., F. M., & Valverde, A. L. (2023). Absolute configuration assignment of marine natural products in Brazil. Frontiers in Natural Products, Section Biological Activities of Natural Products, 2, Article 1224564. https://doi.org/10.3389/fntpr.2023.1224640
Germacra-1(10),4(15),7(11)-trien-5-ol-8-one;CC(C)=C1CC(O)C(=C)CC\C=C(C)\CC1=O;234.338;46.593;2;1;0.53333;Alkaloids;Not known;Gorgonian Phyllogorgia dilatata;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Heterogorgiolide;CC1=C2C[C@H]3C(=C)[C@H]4C[C@H]4[C@@]3(C[C@@]2(OC1=O)OC)C;260.332;23.827;3;0;0.6875;Fatty acids;Not known;Gorgonian Heterogorgia uatumani;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Another heterogorgiolide;[H][C@]12[C@@H]3C[C@](C)(O)CC\C=C(C)\CC(O3)[C@@]1([H])C(C)=CC[C@@H]2C(C)C;318.499;51.482;2;1;0.80952;Fatty acids;Not known;Gorgonian Heterogorgia uatumani;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
11,12-epoxypukalide;CC(=C)[C@H]1CC[C@]23[C@H](O2)[C@@H](C[C@]4([C@@H](O4)C5=CC(=C(C1)O5)C(=O)OC)C)OC3=O;388.415;23.256;7;0;0.61905;Amino acids and Peptides;Induces Proliferation and Protects against Cytokine-Mediated Apoptosis in Primary Cultures of Pancreatic β-Cells;Gorgonian Phyllogorgia dilatata;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
Variabilin;CC1=C(/C(=C/C(C)CCC/C(=C/CC/C(=C/CCC2=COC=C2)/C)/C)/OC1=O)O;398.541;70.141;4;1;0.48;Terpenoids;Anticancer Activity in Vitro, neuroprotetive activity;Sponge Ircinia strobilina;"Berlinck RG, Hajdu E, da Rocha RM, de Oliveira JH, Hernández IL, Seleghim MH, Granato AC, de Almeida EV, Nuñez CV, Muricy G, Peixinho S, Pessoa C, Moraes MO, Cavalcanti BC, Nascimento GG, Thiemann O, Silva M, Souza AO, Silva CL, Minarini PR. Challenges and rewards of research in marine natural products chemistry in Brazil. J Nat Prod. 2004 Mar;67(3):510-22. doi: 10.1021/np0304316. PMID: 15043447."
